target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
DPP4,rich,33,borrow,-0.606432132997184,-0.5270510463825001,-0.6827263422904617,-0.3713757504745385,True,1.0,0.20063956356422655
DPP4,rich,33,shrink_mean,-0.606432132997184,-0.5191280539957425,-0.6413984340054479,-0.396857673986037,True,1.0,0.08293752714874375
DPP4,rich,34,nma,-0.606432132997184,-0.64653176102372,-0.8842294518897236,-0.40883407015771644,True,,
DPP4,rich,34,borrow,-0.606432132997184,-0.6543460626267574,-0.81064037136291,-0.4980517538906049,True,1.0,0.024275309657710752
DPP4,rich,34,shrink_mean,-0.606432132997184,-0.6506848769982291,-0.8039306907441197,-0.4974390632523384,True,1.0,0.00476215364460204
DPP4,rich,35,nma,-0.606432132997184,-0.5473851398114742,-0.7752873583364067,-0.31948292128654165,True,,
DPP4,rich,35,borrow,-0.606432132997184,-0.5517537378157527,-0.7169485163345146,-0.3865589592969907,True,1.0,0.15173221479545954
DPP4,rich,35,shrink_mean,-0.606432132997184,-0.5450970387637966,-0.6876786277300515,-0.40251544979754156,True,1.0,0.04701043865950941
DPP4,rich,36,nma,-0.606432132997184,-0.5248980605296594,-0.75231048190053,-0.2974856391587888,True,,
DPP4,rich,36,borrow,-0.606432132997184,-0.5314326079021766,-0.7116864895197624,-0.3511787262845908,True,1.0,0.19288490316886792
DPP4,rich,36,shrink_mean,-0.606432132997184,-0.5234256464260515,-0.6745528094695861,-0.3722984833825169,True,1.0,0.07718017490637424
DPP4,rich,37,nma,-0.606432132997184,-0.5712239304277551,-0.8071542092750031,-0.33529365158050706,True,,
DPP4,rich,37,borrow,-0.606432132997184,-0.5775137016229415,-0.7392672371101366,-0.4157601661357463,True,1.0,0.10828833668990273
DPP4,rich,37,shrink_mean,-0.606432132997184,-0.5721249023289314,-0.7185970667727868,-0.42565273788507607,True,1.0,0.020420518836973357
DPP4,rich,38,nma,-0.606432132997184,-0.669044902363237,-0.9024232883769306,-0.43566651634954334,True,,
DPP4,rich,38,borrow,-0.606432132997184,-0.6796325397947531,-0.8126298933056619,-0.5466351862838443,True,1.0,0.009998096832345033
DPP4,rich,38,shrink_mean,-0.606432132997184,-0.6766280896112495,-0.8096355995161733,-0.5436205797063258,True,1.0,0.019213279440859845
DPP4,rich,39,nma,-0.606432132997184,-0.5349233668115327,-0.7695001079414785,-0.300346625681587,True,,
DPP4,rich,39,borrow,-0.606432132997184,-0.5426347286597488,-0.71787799617168,-0.3673914611478176,True,1.0,0.1696694282151874
DPP4,rich,39,shrink_mean,-0.606432132997184,-0.5353186090259534,-0.6852402877682151,-0.38539693028369176,True,1.0,0.059733225051937386
DPP4,rich,40,nma,-0.606432132997184,-0.6072297914594778,-0.8403402697595053,-0.37411931315945024,True,,
