mu,tau,selection,quality_bias,k,design_mix,method,replicate,true_mu,k_published,mu_hat,ci_low,ci_high,converged
0.2,0.0,none,none,30,all_rct,trim_and_fill,2,0.2,15,0.10189142485611524,0.0564455110895824,0.14733733862264808,True
0.2,0.0,none,none,30,all_rct,pet_peese,2,0.2,15,0.3010784613583735,0.22163952307143575,0.3805173996453113,True
0.2,0.0,none,none,30,all_rct,copas,2,0.2,15,0.28016172208917134,0.2021005768160912,0.3582228673622515,True
0.2,0.0,none,none,30,all_rct,quality_effects,2,0.2,15,0.31791925363104284,0.24925129418689512,0.38658721307519056,True
0.2,0.0,none,none,30,all_rct,ubcma,2,0.2,15,0.3575395972531437,0.2696199645217967,0.43943475836264256,False
0.2,0.0,none,none,30,all_rct,dl,3,0.2,11,0.22297730019093398,0.13173144525542146,0.3142231551264465,True
0.2,0.0,none,none,30,all_rct,dl_hksj,3,0.2,11,0.22297730019093398,0.11384116837465247,0.3321134320072155,True
0.2,0.0,none,none,30,all_rct,reml,3,0.2,11,0.2261740811535813,0.15768740295983497,0.29466075934732766,True
0.2,0.0,none,none,30,all_rct,reml_hksj,3,0.2,11,0.2261740811535813,0.13485319101779508,0.31749497128936754,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,3,0.2,11,0.15584120676829186,0.0997821245229697,0.21190028901361402,True
0.2,0.0,none,none,30,all_rct,pet_peese,3,0.2,11,0.222677239831252,0.13177576890626963,0.3135787107562344,True
0.2,0.0,none,none,30,all_rct,copas,3,0.2,11,0.22605914452269343,0.1575724407468313,0.29454584829855557,True
0.2,0.0,none,none,30,all_rct,quality_effects,3,0.2,11,0.21450772138310228,0.13819651156634272,0.29081893119986185,True
0.2,0.0,none,none,30,all_rct,ubcma,3,0.2,11,0.1713860182814439,0.06752156016207148,0.27234994943896107,True
0.2,0.0,none,none,30,all_rct,dl,4,0.2,16,0.22666498710265934,0.17660893886179685,0.2767210353435218,True
0.2,0.0,none,none,30,all_rct,dl_hksj,4,0.2,16,0.22666498710265934,0.1722303231865856,0.2810996510187331,True
0.2,0.0,none,none,30,all_rct,reml,4,0.2,16,0.226083217834904,0.168647371303762,0.283519064366046,True
0.2,0.0,none,none,30,all_rct,reml_hksj,4,0.2,16,0.226083217834904,0.16362206551104008,0.28854437015876794,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,4,0.2,16,0.13145079229663542,0.09149622294244489,0.17140536165082595,True
0.2,0.0,none,none,30,all_rct,pet_peese,4,0.2,16,0.22430629102882577,0.1548297261509003,0.29378285590675124,True
0.2,0.0,none,none,30,all_rct,copas,4,0.2,16,0.2241758165519877,0.16942938790099196,0.2789222452029834,True
0.2,0.0,none,none,30,all_rct,quality_effects,4,0.2,16,0.22957891650463105,0.1743486526698909,0.2848091803393712,True
0.2,0.0,none,none,30,all_rct,ubcma,4,0.2,16,0.24604274887651212,0.16077832219670074,0.3255709216224714,True
0.2,0.0,none,none,30,all_rct,dl,5,0.2,17,0.18258844350402598,0.12205705808280788,0.24311982892524409,True
0.2,0.0,none,none,30,all_rct,dl_hksj,5,0.2,17,0.18258844350402598,0.11711864517563596,0.24805824183241598,True
0.2,0.0,none,none,30,all_rct,reml,5,0.2,17,0.18258844334368055,0.12205816195024172,0.24311872473711937,True
0.2,0.0,none,none,30,all_rct,reml_hksj,5,0.2,17,0.18258844334368055,0.11711863609137166,0.24805825059598943,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,5,0.2,17,0.1294035490669626,0.07656152501082492,0.1822455731231003,True
0.2,0.0,none,none,30,all_rct,pet_peese,5,0.2,17,0.2054380388569131,0.11692558426074494,0.2939504934530813,True
0.2,0.0,none,none,30,all_rct,copas,5,0.2,17,0.18258843912713205,0.12205816565781591,0.24311871259644818,True
0.2,0.0,none,none,30,all_rct,quality_effects,5,0.2,17,0.18718430219500867,0.12072743821415363,0.25364116617586374,True
0.2,0.0,none,none,30,all_rct,ubcma,5,0.2,17,0.1878014609935843,0.10414646143597522,0.27055167461636564,True
0.2,0.0,none,none,30,all_rct,dl,6,0.2,14,0.2183979427302183,0.15078179023813412,0.2860140952223025,True
0.2,0.0,none,none,30,all_rct,dl_hksj,6,0.2,14,0.2183979427302183,0.14201555736793658,0.2947803280925,True
0.2,0.0,none,none,30,all_rct,reml,6,0.2,14,0.21705463368791686,0.15499317652477088,0.2791160908510628,True
0.2,0.0,none,none,30,all_rct,reml_hksj,6,0.2,14,0.21705463368791686,0.14365146464949527,0.2904578027263385,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,6,0.2,14,0.12041479645768019,0.07794107418801316,0.16288851872734722,True
0.2,0.0,none,none,30,all_rct,pet_peese,6,0.2,14,0.2096107246544483,0.13624355540044647,0.28297789390845013,True
0.2,0.0,none,none,30,all_rct,copas,6,0.2,14,0.2158268026483824,0.15707665807069943,0.27457694722606535,True
0.2,0.0,none,none,30,all_rct,quality_effects,6,0.2,14,0.23811878116430374,0.17324220821615707,0.3029953541124504,True
0.2,0.0,none,none,30,all_rct,ubcma,6,0.2,14,0.262906794058308,0.17205921332490434,0.3528283710565332,True
0.2,0.0,none,none,30,all_rct,dl,7,0.2,15,0.2066830321167245,0.14641338543307925,0.26695267880036977,True
0.2,0.0,none,none,30,all_rct,dl_hksj,7,0.2,15,0.2066830321167245,0.14073122808989197,0.27263483614355705,True
0.2,0.0,none,none,30,all_rct,reml,7,0.2,15,0.2082369547580347,0.14584057485442425,0.27063333466164513,True
0.2,0.0,none,none,30,all_rct,reml_hksj,7,0.2,15,0.2082369547580347,0.13995665672851204,0.27651725278755734,True
