nct_id,drug_class,published,abs_md_pct
NCT01263496,DPP4,0,0.401
NCT01263496,AGI,0,0.401
NCT01263496,DPP4,0,0.316
NCT01263496,AGI,0,0.316
NCT01263496,DPP4,0,0.263
NCT01263496,AGI,0,0.263
NCT01263496,DPP4,0,0.172
NCT01263496,AGI,0,0.172
NCT01263496,DPP4,0,0.079
NCT01263496,AGI,0,0.079
NCT01263496,DPP4,0,0.08
NCT01263496,AGI,0,0.08
NCT01263496,DPP4,0,0.049
NCT01263496,AGI,0,0.049
NCT01263496,DPP4,0,0.05
NCT01263496,AGI,0,0.05
NCT01263496,DPP4,0,0.065
NCT01263496,AGI,0,0.065
NCT01263496,DPP4,0,0.033
NCT01263496,AGI,0,0.033
NCT01263496,DPP4,0,0.118
NCT01263496,AGI,0,0.118
NCT01263496,DPP4,0,0.181
NCT01263496,AGI,0,0.181
NCT00859898,metformin,1,0.53
NCT00859898,SGLT2,1,0.53
NCT00570739,metformin,1,0.15
NCT00570739,metformin,1,0.04
NCT01475461,DPP4,1,0.17
NCT01475461,DPP4,1,0.13
NCT02558296,SGLT2,0,0.39
NCT00570739,metformin,1,0.04
NCT01475461,DPP4,1,0.01
NCT01475461,DPP4,1,0.0
NCT02558296,SGLT2,0,0.42
NCT01475461,DPP4,1,0.33
NCT02558296,SGLT2,0,0.46
NCT01475461,DPP4,1,0.27
NCT02558296,SGLT2,0,0.47
NCT01475461,DPP4,1,0.14
NCT02558296,SGLT2,0,0.47
NCT01475461,DPP4,1,0.14
NCT02558296,SGLT2,0,0.56
NCT01475461,DPP4,1,0.04
NCT02558296,SGLT2,0,0.45
NCT01474538,insulin,0,0.1
NCT01644500,GLP1,1,0.32
NCT01644500,SU,1,0.32
NCT03736785,insulin,1,0.09
NCT01263483,DPP4,1,0.947
NCT01263483,AGI,1,0.947
NCT01263483,DPP4,1,0.19
NCT01263483,AGI,1,0.19
NCT01263483,DPP4,1,0.414
NCT01263483,AGI,1,0.414
NCT01263483,DPP4,1,0.749
NCT01263483,AGI,1,0.749
NCT03952143,insulin,0,0.07
NCT04591626,GLP1,0,0.95
NCT04591626,insulin,0,0.95
NCT01392677,SGLT2,1,0.69
NCT01294423,SGLT2,1,0.39
NCT01476475,metformin,1,0.17
NCT01476475,GLP1,1,0.17
NCT01476475,insulin,1,0.17
NCT00960661,metformin,1,0.04
NCT00960661,GLP1,1,0.04
NCT00960661,insulin,1,0.04
NCT01894568,insulin,0,0.24
NCT01588470,TZD,1,1.1
NCT01103414,TZD,0,0.86
NCT06473662,insulin,0,0.53
NCT02597049,metformin,1,0.66
NCT02597049,GLP1,1,0.66
NCT02597049,metformin,1,0.69
NCT02597049,GLP1,1,0.69
NCT02787551,metformin,1,0.64
NCT02787551,GLP1,1,0.64
NCT02787551,TZD,1,0.64
NCT02787551,insulin,1,0.64
NCT02243176,DPP4,1,0.04
NCT02243176,AGI,1,0.04
NCT02243176,DPP4,1,0.03
NCT02243176,AGI,1,0.03
NCT03861052,GLP1,1,1.53
NCT01619059,metformin,1,0.35
NCT01619059,SGLT2,1,0.35
NCT01619059,DPP4,1,0.35
NCT01318070,DPP4,0,0.18
NCT01318070,TZD,0,0.18
NCT01318070,DPP4,0,0.359
NCT01318070,TZD,0,0.359
NCT01318070,DPP4,0,0.635
NCT01318070,TZD,0,0.635
NCT01318070,DPP4,0,0.773
NCT01318070,TZD,0,0.773
NCT01606007,metformin,1,0.27
NCT01606007,SGLT2,1,0.27
NCT01606007,DPP4,1,0.27
NCT00972244,SGLT2,1,0.79
NCT02429258,metformin,1,0.23
NCT02429258,insulin,1,0.23
NCT02154347,insulin,0,0.66
NCT02058160,metformin,1,0.52
NCT02058160,GLP1,1,0.52
NCT02058160,insulin,1,0.52
NCT00683878,SGLT2,1,0.55
NCT00683878,TZD,1,0.55
NCT05413369,metformin,0,0.2
NCT05413369,GLP1,0,0.2
NCT05413369,insulin,0,0.2
NCT05413369,metformin,0,0.2
NCT05413369,GLP1,0,0.2
NCT05413369,insulin,0,0.2
NCT00308139,GLP1,1,0.33
NCT01517412,metformin,1,0.09
NCT01517412,GLP1,1,0.09
NCT01029886,GLP1,1,0.21
NCT01183104,DPP4,1,0.11
NCT01183104,SU,1,0.11
NCT01095666,metformin,0,0.62
NCT01095666,SGLT2,0,0.62
NCT01095666,TZD,0,0.62
NCT02647320,DPP4,0,0.43
NCT00661362,metformin,1,0.42
NCT00661362,DPP4,1,0.42
NCT02681094,SGLT2,0,0.34
NCT02681094,DPP4,0,0.34
NCT03684642,metformin,0,0.08
NCT03684642,GLP1,0,0.08
NCT00359762,GLP1,1,0.18
NCT00359762,SU,1,0.18
NCT00359762,GLP1,1,0.16
NCT00359762,SU,1,0.16
NCT00359762,GLP1,1,0.28
NCT00359762,SU,1,0.28
NCT00575588,metformin,1,0.06
NCT00575588,DPP4,1,0.06
NCT00575588,metformin,1,0.002
NCT00575588,DPP4,1,0.002
NCT00575588,metformin,1,0.05
NCT00575588,DPP4,1,0.05
NCT00575588,metformin,1,0.0035
NCT00575588,DPP4,1,0.0035
NCT00528879,metformin,1,0.54
NCT00528879,SGLT2,1,0.54
NCT00528879,metformin,1,0.78
NCT00528879,SGLT2,1,0.78
NCT00528879,metformin,1,0.57
NCT00528879,SGLT2,1,0.57
NCT04537923,GLP1,1,1.1
NCT04537923,insulin,1,1.1
NCT04537923,GLP1,1,1.3
NCT04537923,insulin,1,1.3
NCT00449930,metformin,1,0.14
NCT00449930,DPP4,1,0.14
NCT00614939,DPP4,1,0.42
NCT00614939,DPP4,1,0.82
NCT01137474,SGLT2,1,0.46
NCT01003184,GLP1,1,0.41
NCT01003184,insulin,1,0.41
NCT02294474,insulin,1,0.07
NCT03131687,GLP1,1,1.89
NCT03131687,GLP1,1,1.67
NCT03131687,GLP1,1,0.8
NCT03131687,GLP1,1,2.1
NCT01644500,GLP1,1,0.58
NCT01644500,SU,1,0.58
NCT03736785,insulin,1,0.08
NCT01263483,DPP4,1,1.002
NCT01263483,AGI,1,1.002
NCT01263483,DPP4,1,0.176
NCT01263483,AGI,1,0.176
NCT01263483,DPP4,1,0.421
NCT01263483,AGI,1,0.421
NCT01263483,DPP4,1,0.738
NCT01263483,AGI,1,0.738
NCT01294423,SGLT2,1,0.35
NCT01476475,metformin,1,0.17
NCT01476475,GLP1,1,0.17
NCT01476475,insulin,1,0.17
NCT01103414,TZD,0,0.79
NCT02597049,metformin,1,0.79
NCT02597049,GLP1,1,0.79
NCT02597049,metformin,1,0.82
NCT02597049,GLP1,1,0.82
NCT03861052,GLP1,1,1.27
NCT01318070,DPP4,0,0.179
NCT01318070,TZD,0,0.179
NCT01318070,DPP4,0,0.363
NCT01318070,TZD,0,0.363
NCT01318070,DPP4,0,0.588
NCT01318070,TZD,0,0.588
NCT01606007,metformin,1,0.59
NCT01606007,SGLT2,1,0.59
NCT01606007,DPP4,1,0.59
NCT00972244,SGLT2,1,0.72
NCT00683878,SGLT2,1,0.4
NCT00683878,TZD,1,0.4
NCT01517412,metformin,1,0.09
NCT01517412,GLP1,1,0.09
NCT01095666,metformin,0,0.59
NCT01095666,SGLT2,0,0.59
NCT01095666,TZD,0,0.59
NCT02647320,DPP4,0,0.08
NCT02681094,SGLT2,0,0.4
NCT02681094,DPP4,0,0.4
NCT03684642,metformin,0,0.03
NCT03684642,GLP1,0,0.03
NCT00528879,metformin,1,0.41
NCT00528879,SGLT2,1,0.41
NCT00528879,metformin,1,0.84
NCT00528879,SGLT2,1,0.84
NCT00528879,metformin,1,0.4
NCT00528879,SGLT2,1,0.4
NCT00528879,metformin,1,0.7
NCT00528879,SGLT2,1,0.7
NCT04537923,GLP1,1,1.11
NCT04537923,insulin,1,1.11
NCT03131687,GLP1,1,1.83
NCT03131687,GLP1,1,1.62
NCT03131687,GLP1,1,1.9
NCT01103414,TZD,0,0.39
NCT03861052,GLP1,1,1.09
NCT00972244,SGLT2,1,0.45
NCT02647320,DPP4,0,0.11
NCT00528879,metformin,1,0.38
NCT00528879,SGLT2,1,0.38
NCT00528879,metformin,1,0.68
NCT00528879,SGLT2,1,0.68
NCT00528879,metformin,1,0.38
NCT00528879,SGLT2,1,0.38
NCT04537923,GLP1,1,0.89
NCT04537923,insulin,1,0.89
NCT03131687,GLP1,1,1.67
NCT03131687,GLP1,1,1.49
NCT03131687,GLP1,1,1.7
NCT00972244,SGLT2,1,0.47
NCT02647320,DPP4,0,0.05
NCT03131687,GLP1,1,1.0
NCT03131687,GLP1,1,0.89
NCT03131687,GLP1,1,0.8
