cell,tau,selection,n,ncontrast,reps,nscored,dMCIW0,dMCIW0_lo,dMCIW0_hi,MCIW0_robust,dMCIW,dMCIW_lo,dMCIW_hi,MCIW_robust,mciw0_auto,mciw0_DL,bias_auto,bias_DL,rawcov_auto,rawcov_DL,covunif_auto,covunif_DL,spearman_auto,spearman_DL,top1_auto,top1_DL,secs,d_rawcov
t10_strong_n6,0.1,strong,6,5,600,600,-0.022862798978050658,-0.04056962174196736,-0.0007578349025117704,True,0.011421485033572876,-0.007907243265091913,0.03223905264872403,False,0.45820996318180285,0.5075445883888606,0.04712028619635973,0.07683435306215436,0.89,0.8110000000000002,0.05999999999999996,0.13899999999999996,0.9447619047619048,0.9382857142857144,0.905,0.9083333333333333,99.0,0.07899999999999985
t10_strong_n8,0.1,strong,8,7,600,600,-0.031516689142439436,-0.05364190744735817,-0.019226396752469625,True,-0.02979676258979036,-0.04455455925152075,-0.010160535628540022,True,0.3923628932432699,0.4293357914839571,0.041709514894802076,0.08064047269391914,0.9069047619047621,0.7649999999999999,0.04309523809523803,0.185,0.9611507936507938,0.9542857142857143,0.8933333333333333,0.8733333333333333,156.5,0.1419047619047622
t10_strong_n10,0.1,strong,10,9,600,600,-0.06403493813027628,-0.07906263433934944,-0.048570611840853185,True,-0.052457822474551774,-0.0636840006209381,-0.036536529366417256,True,0.3341027000091822,0.40076256470108457,0.03389138547962759,0.07712946588641877,0.9164814814814815,0.715925925925926,0.033518518518518475,0.23407407407407405,0.9738181818181818,0.9654343434343434,0.9233333333333333,0.9116666666666666,198.4,0.2005555555555555
t10_strong_n12,0.1,strong,12,11,600,600,-0.08967332235774617,-0.10030345587745547,-0.07630810398101362,True,-0.07878663305797973,-0.09058396303253366,-0.06829533516119525,True,0.2874260585237146,0.3717774777469424,0.03149491170805747,0.0764778176659348,0.9310606060606059,0.7006060606060606,0.021060606060606033,0.2493939393939394,0.9809557109557111,0.972843822843823,0.9166666666666666,0.9016666666666666,326.9,0.23045454545454536
t20_strong_n5,0.2,strong,5,4,600,596,-0.005207400700653064,-0.04108663932376948,0.020390367323880408,False,0.04824615124851184,0.0033418668348380535,0.0841318901337446,False,0.7574779098275176,0.7659411715194341,0.09996895385428045,0.13108529233545743,0.828020134228188,0.7298657718120805,0.12197986577181202,0.22013422818791945,0.89748322147651,0.8874161073825503,0.860738255033557,0.8557046979865772,70.3,0.09815436241610753
t20_strong_n6,0.2,strong,6,5,600,600,-0.02866582201515111,-0.053856486542167105,-0.010583694372086524,True,0.045788029989682344,0.01326910258684549,0.06965816405086082,False,0.6161323397370935,0.6652861814310811,0.08623511132724773,0.12492032716189208,0.851,0.7256666666666666,0.09899999999999998,0.22433333333333327,0.9213333333333334,0.9102857142857143,0.8883333333333333,0.87,101.5,0.1253333333333334
t20_strong_n8,0.2,strong,8,7,600,600,-0.06608553626322355,-0.08951757287924253,-0.04433568096073903,True,-0.015307673276008904,-0.040785111880124604,0.01605875332859723,False,0.5546733908870799,0.6105396888392681,0.08060170780848093,0.13077902994495058,0.8619047619047617,0.6530952380952381,0.08809523809523807,0.2969047619047619,0.9398412698412699,0.9295238095238096,0.8583333333333333,0.8416666666666667,149.5,0.20880952380952367
t20_strong_n10,0.2,strong,10,9,600,600,-0.0882862810120526,-0.10171127153144342,-0.06978579547356589,True,-0.04665186858591097,-0.07266365323021858,-0.022798808913966705,True,0.4793823609575514,0.5692938584966324,0.07175485972597051,0.12750338639144265,0.8707407407407408,0.6018518518518519,0.0792592592592592,0.3481481481481481,0.9594343434343434,0.9437575757575758,0.895,0.8733333333333333,209.6,0.26888888888888896
t20_strong_n12,0.2,strong,12,11,600,600,-0.12223366455581214,-0.1363323418613778,-0.1059197269780474,True,-0.1089822086320334,-0.12696087722206614,-0.08999244841773534,True,0.4198046163488792,0.542903434165568,0.06663576147499474,0.1263251662862029,0.8910606060606061,0.5654545454545455,0.058939393939393896,0.3845454545454545,0.96988344988345,0.9549766899766902,0.8833333333333333,0.8566666666666667,336.1,0.32560606060606057
t30_strong_n5,0.3,strong,5,4,600,598,-0.03984130178105605,-0.08801873921588754,-0.008932647341480844,True,0.10303788718839613,0.05445241921653502,0.15753477713497752,False,0.9496075738099103,0.9979713508610923,0.16315611861256937,0.20186655221364433,0.7713210702341137,0.649247491638796,0.17867892976588626,0.30075250836120393,0.8523411371237457,0.837458193979933,0.7859531772575251,0.7909698996655519,71.1,0.12207357859531764
t30_strong_n6,0.3,strong,6,5,600,600,-0.03989209679438732,-0.06733043286341009,-0.011565197558782162,True,0.09404588573012451,0.05222158003793852,0.13555056143217717,False,0.832363571025299,0.8721687360659768,0.13850969003952773,0.18927347588021534,0.7916666666666666,0.6386666666666666,0.15833333333333327,0.3113333333333333,0.8885714285714287,0.8733333333333333,0.8166666666666667,0.8016666666666666,101.1,0.15300000000000002
t30_strong_n8,0.3,strong,8,7,600,600,-0.08041321259517642,-0.11372340570567623,-0.058583991652363554,True,-0.010052277789164843,-0.039565000880829884,0.022277772456562674,False,0.7447505235140557,0.8127219643466496,0.13475900866097215,0.19867002978653872,0.8099999999999999,0.540952380952381,0.13999999999999996,0.40904761904761894,0.9139285714285715,0.8919444444444445,0.8166666666666667,0.7883333333333333,147.6,0.269047619047619
t30_strong_n10,0.3,strong,10,9,600,600,-0.12417210552956626,-0.14441579451642453,-0.10524881203045493,True,-0.07269945191494609,-0.10595893515418539,-0.047318864565147285,True,0.66085996402688,0.7727381758649479,0.12055176892182118,0.1947579919814132,0.829074074074074,0.4927777777777778,0.12092592592592588,0.45722222222222225,0.9402828282828282,0.9127676767676767,0.8566666666666667,0.8166666666666667,203.8,0.33629629629629615
t30_strong_n12,0.3,strong,12,11,600,600,-0.15397803435001156,-0.17111509346962714,-0.13719088721835979,True,-0.14583666642232773,-0.1640419917088115,-0.12547228063121296,True,0.5904911157333838,0.7390803687997977,0.11357963561753749,0.19195135273851358,0.8395454545454547,0.44090909090909086,0.11106060606060603,0.509090909090909,0.9529953379953381,0.927925407925408,0.8416666666666667,0.8166666666666667,260.3,0.39863636363636384
