strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
none,4,two_stage_fixed,0.045,0.045571843731538025,0.03525993844842773,0.05588374901464832,True
none,4,one_stage,0.045,0.04557184373153802,0.03525993844842772,0.055883749014648314,True
none,4,trend_pet,0.045,0.03544900022694915,-0.07854428868675137,0.14944228914064966,True
none,4,trend_peese,0.045,0.040753167179588816,-0.01613014730565345,0.09763648166483108,True
none,4,adaptshrink,0.045,0.045584379407331184,0.032045784288119425,0.05912297452654294,True
none,5,two_stage_reml,0.045,0.0401186817183881,0.02605327846175836,0.054184084975017845,True
none,5,two_stage_fixed,0.045,0.04104421323496099,0.030476943457996144,0.051611483011925835,True
none,5,one_stage,0.045,0.04104421323496099,0.030476943457996144,0.051611483011925835,True
none,5,trend_pet,0.045,0.18322163892466023,0.0372330654360335,0.32921021241328696,True
none,5,trend_peese,0.045,0.10904909259025954,0.03660888167898246,0.1814893035015366,True
none,5,adaptshrink,0.045,0.04084310639698696,0.02626378420906094,0.05542242858491298,True
none,6,two_stage_reml,0.045,0.04399479609822702,0.02562326304527462,0.062366329151179414,True
none,6,two_stage_fixed,0.045,0.04752072784456125,0.03723588114307031,0.057805574546052195,True
none,6,one_stage,0.045,0.04752072784456125,0.03723588114307031,0.057805574546052195,True
none,6,trend_pet,0.045,0.29215838196151356,0.16539816472749427,0.41891859919553287,True
none,6,trend_peese,0.045,0.16319478240072588,0.0989903786564187,0.22739918614503307,True
none,6,adaptshrink,0.045,0.047095112911403274,0.0314364959154127,0.06275372990739385,True
none,7,two_stage_reml,0.045,0.049637080922930156,0.03714370571784403,0.06213045612801628,True
none,7,two_stage_fixed,0.045,0.049755412624862855,0.039429774368783366,0.060081050880942344,True
none,7,one_stage,0.045,0.049755412624862855,0.039429774368783366,0.060081050880942344,True
none,7,trend_pet,0.045,0.07724143321757777,-0.06915288847034827,0.2236357549055038,True
none,7,trend_peese,0.045,0.0643279902617837,-0.009038622684121922,0.1376946032076893,True
none,7,adaptshrink,0.045,0.049725294134159916,0.03588505072089894,0.06356553754742089,True
none,8,two_stage_reml,0.045,0.03955321668568957,0.02268260981417704,0.0564238235572021,True
none,8,two_stage_fixed,0.045,0.041360531495267173,0.030451408190240163,0.052269654800294184,True
none,8,one_stage,0.045,0.041360531495267173,0.030451408190240163,0.052269654800294184,True
none,8,trend_pet,0.045,0.1916935008520533,0.04494625762396098,0.33844074408014563,True
none,8,trend_peese,0.045,0.11274436203525977,0.04065042256785971,0.18483830150265984,True
none,8,adaptshrink,0.045,0.041059005695400025,0.02538593199716464,0.05673207939363541,True
none,9,two_stage_reml,0.045,0.04584949043801067,0.0304058585972552,0.06129312227876614,True
none,9,two_stage_fixed,0.045,0.04676019426018306,0.03616986767220062,0.0573505208481655,True
none,9,one_stage,0.045,0.04676019426018306,0.03616986767220062,0.0573505208481655,True
none,9,trend_pet,0.045,0.14666548247036176,-0.012889611773718473,0.306220576714442,True
none,9,trend_peese,0.045,0.09633178563104638,0.017405947123915133,0.17525762413817764,True
none,9,adaptshrink,0.045,0.046588683090141046,0.031717326159254225,0.06146004002102787,True
none,10,two_stage_reml,0.045,0.048880268301046366,0.033152475032428574,0.06460806156966416,True
none,10,two_stage_fixed,0.045,0.050708655977810595,0.03983316855943375,0.06158414339618744,True
none,10,one_stage,0.045,0.050708655977810595,0.03983316855943375,0.06158414339618744,True
none,10,trend_pet,0.045,0.16557799004420798,0.047746211911079875,0.2834097681773361,True
none,10,trend_peese,0.045,0.11132384798746812,0.047874527468837774,0.17477316850609848,True
none,10,adaptshrink,0.045,0.05037005843156024,0.034896291624511945,0.06584382523860853,True
none,11,two_stage_reml,0.045,0.029356462904433375,0.016391665877987016,0.042321259930879734,True
none,11,two_stage_fixed,0.045,0.02992661524571258,0.019394559619692678,0.04045867087173248,True
none,11,one_stage,0.045,0.029926615245712575,0.019394559619692678,0.04045867087173247,True
none,11,trend_pet,0.045,0.09749648893664234,-0.015189433905579697,0.21018241177886438,True
none,11,trend_peese,0.045,0.06124460649217963,0.005117899818046598,0.11737131316631266,True
none,11,adaptshrink,0.045,0.029785945418135285,0.015570059052909644,0.04400183178336092,True
none,12,two_stage_reml,0.045,0.03983675332694108,0.027326665258980892,0.05234684139490127,True
none,12,two_stage_fixed,0.045,0.040416220435750855,0.02919737871895605,0.05163506215254566,True
none,12,one_stage,0.045,0.040416220435750855,0.02919737871895605,0.05163506215254566,True
none,12,trend_pet,0.045,0.21387458185610472,0.11433607967075744,0.313413084041452,True
none,12,trend_peese,0.045,0.12673685926673828,0.07543148535823721,0.17804223317523934,True
none,12,adaptshrink,0.045,0.040251005854845985,0.02550068898729623,0.05500132272239574,True
none,13,two_stage_reml,0.045,0.03196506997667587,0.014101607618573205,0.04982853233477853,True
